ONS Code (old),ONS Code (new),Area Name                                           ,ONS Cluster,Period,Indicator value,Lower 95% CI,Upper 95% CI,Significance
00BJ,E09000032,Wandsworth LB,ONS3.5,2006-2008,15.0,14.2,15.8,Significantly better than England average
00BK,E09000033,City of Westminster LB,ONS3.5,2006-2008,15.0,14.0,16.0,Significantly better than England average
00BL,E08000001,Bolton MCD,ONS1.2,2006-2008,23.4,22.3,24.6,Not significantly different from England average
00BM,E08000002,Bury MCD,ONS5.7,2006-2008,22.7,21.4,24.0,Significantly better than England average
00BN,E08000003,Manchester MCD,ONS1.2,2006-2008,21.1,20.2,22.0,Significantly better than England average
00BP,E08000004,Oldham MCD,ONS1.2,2006-2008,25.7,24.5,27.0,Significantly worse than England average
00BQ,E08000005,Rochdale MCD,ONS1.2,2006-2008,24.9,23.5,26.4,Not significantly different from England average
00BR,E08000006,Salford MCD,ONS1.1,2006-2008,23.5,22.3,24.8,Not significantly different from England average
00BS,E08000007,Stockport MCD,ONS5.7,2006-2008,22.0,21.0,23.0,Significantly better than England average
00BT,E08000008,Tameside MCD,ONS7.11,2006-2008,26.5,25.2,27.9,Significantly worse than England average
00BU,E08000009,Trafford MCD,ONS5.7,2006-2008,21.4,20.2,22.6,Significantly better than England average
00BW,E08000010,Wigan MCD,ONS7.12,2006-2008,25.8,24.7,27.0,Significantly worse than England average
00BX,E08000011,Knowsley MCD,ONS7.11,2006-2008,25.5,23.9,27.2,Not significantly different from England average
00BY,E08000012,Liverpool MCD,ONS1.1,2006-2008,22.9,22.0,23.8,Significantly better than England average
00BZ,E08000013,St Helens MCD,ONS7.11,2006-2008,25.1,23.6,26.6,Not significantly different from England average
00CA,E08000014,Sefton MCD,ONS7.11,2006-2008,23.9,22.8,25.0,Not significantly different from England average
00CB,E08000015,Wirral MCD,ONS7.11,2006-2008,23.1,22.1,24.2,Not significantly different from England average
00CC,E08000016,Barnsley MCD,ONS7.12,2006-2008,28.4,27.0,29.8,Significantly worse than England average
00CE,E08000017,Doncaster MCD,ONS7.12,2006-2008,29.0,27.8,30.3,Significantly worse than England average
00CF,E08000018,Rotherham MCD,ONS7.12,2006-2008,27.6,26.3,29.0,Significantly worse than England average
00CG,E08000019,Sheffield MCD,ONS1.1,2006-2008,23.7,22.9,24.5,Not significantly different from England average
00CH,E08000020,Gateshead MCD,ONS7.11,2006-2008,30.7,29.1,32.3,Significantly worse than England average
00CJ,E08000021,Newcastle upon Tyne MCD,ONS1.1,2006-2008,23.9,22.6,25.3,Not significantly different from England average
00CK,E08000022,North Tyneside MCD,ONS7.11,2006-2008,26.6,25.3,28.0,Significantly worse than England average
00CL,E08000023,South Tyneside MCD,ONS7.11,2006-2008,27.4,25.8,29.1,Significantly worse than England average
00CM,E08000024,Sunderland MCD,ONS7.11,2006-2008,28.6,27.3,30.0,Significantly worse than England average
00CN,E08000025,Birmingham MCD,ONS1.2,2006-2008,26.2,25.6,26.9,Significantly worse than England average
00CQ,E08000026,Coventry MCD,ONS1.2,2006-2008,25.7,24.6,26.8,Significantly worse than England average
00CR,E08000027,Dudley MCD,ONS7.12,2006-2008,27.7,26.5,28.8,Significantly worse than England average
00CS,E08000028,Sandwell MCD,ONS1.2,2006-2008,28.7,27.4,30.0,Significantly worse than England average
00CT,E08000029,Solihull MCD,ONS5.7,2006-2008,24.9,23.6,26.3,Not significantly different from England average
00CU,E08000030,Walsall MCD,ONS1.2,2006-2008,27.8,26.6,29.0,Significantly worse than England average
00CW,E08000031,Wolverhampton MCD,ONS1.2,2006-2008,27.5,26.2,28.8,Significantly worse than England average
00CX,E08000032,Bradford MCD,ONS1.2,2006-2008,25.6,24.7,26.6,Significantly worse than England average
00CY,E08000033,Calderdale MCD,ONS1.2,2006-2008,27.0,25.5,28.4,Significantly worse than England average
00CZ,E08000034,Kirklees MCD,ONS1.2,2006-2008,27.0,26.0,28.0,Significantly worse than England average
00DA,E08000035,Leeds MCD,ONS1.1,2006-2008,26.0,25.3,26.7,Significantly worse than England average
00DB,E08000036,Wakefield MCD,ONS7.12,2006-2008,28.5,27.4,29.7,Significantly worse than England average
00EB,E06000001,Hartlepool UA,ONS7.11,2006-2008,27.5,25.4,29.7,Significantly worse than England average
00EC,E06000002,Middlesbrough UA,ONS7.11,2006-2008,27.9,26.1,29.7,Significantly worse than England average
00EE,E06000003,Redcar and Cleveland UA,ONS7.11,2006-2008,29.6,27.8,31.5,Significantly worse than England average
00EF,E06000004,Stockton-on-Tees UA,ONS7.12,2006-2008,27.7,26.1,29.4,Significantly worse than England average
00EH,E06000005,Darlington UA,ONS7.11,2006-2008,27.6,25.7,29.7,Significantly worse than England average
00EJ,E06000047,County Durham UA,ONS7.11,2006-2008,28.6,27.6,29.6,Significantly worse than England average
00EM,E06000048,Northumberland UA,ONS5.7,2006-2008,27.3,26.1,28.5,Significantly worse than England average
00EQ,E06000049,Cheshire East UA,ONS5.7,2006-2008,21.6,20.6,22.5,Significantly better than England average
00ET,E06000006,Halton UA,ONS7.11,2006-2008,25.9,24.1,27.8,Not significantly different from England average
00EU,E06000007,Warrington UA,ONS5.7,2006-2008,22.9,21.6,24.3,Not significantly different from England average
00EW,E06000050,Cheshire West and Chester UA,ONS5.7,2006-2008,22.7,21.7,23.7,Significantly better than England average
00EX,E06000008,Blackburn with Darwen UA,ONS1.2,2006-2008,24.6,23.0,26.3,Not significantly different from England average
00EY,E06000009,Blackpool UA,ONS6.10,2006-2008,25.8,24.2,27.5,Not significantly different from England average
00FA,E06000010,Kingston upon Hull UA,ONS7.11,2006-2008,28.2,26.8,29.6,Significantly worse than England average
00FB,E06000011,East Riding of Yorkshire UA,ONS5.7,2006-2008,25.9,24.8,27.1,Significantly worse than England average
00FC,E06000012,North East Lincolnshire UA,ONS7.12,2006-2008,29.3,27.6,30.9,Significantly worse than England average
00FD,E06000013,North Lincolnshire UA,ONS7.12,2006-2008,29.1,27.4,30.7,Significantly worse than England average
00FF,E06000014,York UA,ONS5.7,2006-2008,23.0,21.7,24.5,Not significantly different from England average
00FK,E06000015,Derby UA,ONS1.2,2006-2008,23.4,22.1,24.6,Not significantly different from England average
00FN,E06000016,Leicester UA,ONS1.2,2006-2008,23.4,22.3,24.6,Not significantly different from England average
00FP,E06000017,Rutland UA,ONS5.7,2006-2008,21.3,18.6,24.2,Not significantly different from England average
00FY,E06000018,Nottingham UA,ONS1.2,2006-2008,22.7,21.6,23.8,Significantly better than England average
00GA,E06000019,County of Herefordshire UA,ONS5.7,2006-2008,25.3,23.8,26.9,Not significantly different from England average
00GF,E06000020,Telford and Wrekin UA,ONS7.12,2006-2008,26.5,24.9,28.0,Significantly worse than England average
00GG,E06000051,Shropshire UA,ONS5.7,2006-2008,24.9,23.7,26.0,Not significantly different from England average
00GL,E06000021,Stoke-on-Trent UA,ONS7.11,2006-2008,27.6,26.3,28.9,Significantly worse than England average
00HA,E06000022,Bath and North East Somerset UA,ONS5.7,2006-2008,21.9,20.6,23.2,Significantly better than England average
00HB,E06000023,Bristol UA,ONS1.1,2006-2008,22.7,21.8,23.7,Significantly better than England average
00HC,E06000024,North Somerset UA,ONS5.7,2006-2008,25.2,23.7,26.7,Not significantly different from England average
00HD,E06000025,South Gloucestershire UA,ONS5.7,2006-2008,26.2,24.9,27.5,Significantly worse than England average
00HE,E06000052,Cornwall UA,ONS6.10,2006-2008,25.0,24.2,25.9,Not significantly different from England average
00HG,E06000026,Plymouth UA,ONS1.1,2006-2008,24.6,23.3,25.8,Not significantly different from England average
00HH,E06000027,Torbay UA,ONS6.10,2006-2008,27.6,25.8,29.5,Significantly worse than England average
00HN,E06000028,Bournemouth UA,ONS1.1,2006-2008,22.5,21.1,24.0,Significantly better than England average
00HP,E06000029,Poole UA,ONS5.7,2006-2008,24.5,22.9,26.2,Not significantly different from England average
00HX,E06000030,Swindon UA,ONS5.8,2006-2008,27.0,25.5,28.6,Significantly worse than England average
00HY,E06000054,Wiltshire UA,ONS5.7,2006-2008,25.2,24.2,26.1,Not significantly different from England average
00JA,E06000031,Peterborough UA,ONS5.8,2006-2008,24.9,23.4,26.5,Not significantly different from England average
00KA,E06000032,Luton UA,ONS2.4,2006-2008,25.9,24.3,27.5,Significantly worse than England average
00KB,E06000055,Bedford UA,ONS5.8,2006-2008,23.1,21.6,24.7,Not significantly different from England average
00KC,E06000056,Central Bedfordshire UA,ONS5.7,2006-2008,24.2,23.0,25.5,Not significantly different from England average
00KF,E06000033,Southend-on-Sea UA,ONS1.1,2006-2008,24.8,23.1,26.5,Not significantly different from England average
00KG,E06000034,Thurrock UA,ONS5.8,2006-2008,28.1,26.3,30.0,Significantly worse than England average
00LC,E06000035,Medway UA,ONS5.8,2006-2008,30.0,28.7,31.4,Significantly worse than England average
00MA,E06000036,Bracknell Forest UA,ONS5.9,2006-2008,23.2,21.5,25.1,Not significantly different from England average
00MB,E06000037,West Berkshire UA,ONS5.9,2006-2008,23.7,22.2,25.2,Not significantly different from England average
00MC,E06000038,Reading UA,ONS1.3,2006-2008,21.9,20.4,23.5,Significantly better than England average
00MD,E06000039,Slough UA,ONS2.4,2006-2008,23.7,21.8,25.6,Not significantly different from England average
00ME,E06000040,Windsor and Maidenhead UA,ONS5.9,2006-2008,19.1,17.7,20.6,Significantly better than England average
00MF,E06000041,Wokingham UA,ONS5.9,2006-2008,20.2,18.9,21.6,Significantly better than England average
00MG,E06000042,Milton Keynes UA,ONS5.8,2006-2008,25.3,24.0,26.6,Not significantly different from England average
00ML,E06000043,Brighton and Hove UA,ONS1.1,2006-2008,20.4,19.4,21.5,Significantly better than England average
00MR,E06000044,Portsmouth UA,ONS1.1,2006-2008,23.8,22.4,25.2,Not significantly different from England average
00MS,E06000045,Southampton UA,ONS1.1,2006-2008,22.7,21.5,23.9,Significantly better than England average
00MW,E06000046,Isle of Wight UA,ONS6.10,2006-2008,27.4,25.6,29.3,Significantly worse than England average
11UB,E07000004,Aylesbury Vale CD,ONS5.9,2006-2008,22.4,21.0,23.8,Significantly better than England average
11UC,E07000005,Chiltern CD,ONS5.9,2006-2008,17.9,16.2,19.6,Significantly better than England average
11UE,E07000006,South Bucks CD,ONS5.9,2006-2008,19.5,17.4,21.7,Significantly better than England average
11UF,E07000007,Wycombe CD,ONS5.9,2006-2008,21.1,19.8,22.5,Significantly better than England average
12UB,E07000008,Cambridge CD,ONS1.3,2006-2008,14.4,13.1,15.9,Significantly better than England average
12UC,E07000009,East Cambridgeshire CD,ONS5.7,2006-2008,23.0,20.9,25.3,Not significantly different from England average
12UD,E07000010,Fenland CD,ONS5.7,2006-2008,25.8,23.6,28.2,Not significantly different from England average
12UE,E07000011,Huntingdonshire CD,ONS5.7,2006-2008,22.6,21.2,24.1,Significantly better than England average
12UG,E07000012,South Cambridgeshire CD,ONS5.9,2006-2008,20.1,18.7,21.5,Significantly better than England average
16UB,E07000026,Allerdale CD,ONS6.10,2006-2008,24.8,22.8,26.9,Not significantly different from England average
16UC,E07000027,Barrow-in-Furness CD,ONS7.11,2006-2008,26.1,23.9,28.5,Not significantly different from England average
16UD,E07000028,Carlisle CD,ONS6.10,2006-2008,24.3,22.5,26.3,Not significantly different from England average
16UE,E07000029,Copeland CD,ONS7.11,2006-2008,25.7,23.2,28.4,Not significantly different from England average
16UF,E07000030,Eden CD,ONS6.10,2006-2008,23.8,21.2,26.6,Not significantly different from England average
16UG,E07000031,South Lakeland CD,ONS6.10,2006-2008,20.5,18.8,22.3,Significantly better than England average
17UB,E07000032,Amber Valley CD,ONS7.12,2006-2008,25.1,23.3,26.9,Not significantly different from England average
17UC,E07000033,Bolsover CD,ONS7.12,2006-2008,27.4,25.1,29.9,Significantly worse than England average
17UD,E07000034,Chesterfield CD,ONS7.12,2006-2008,26.5,24.5,28.6,Significantly worse than England average
17UF,E07000035,Derbyshire Dales CD,ONS5.7,2006-2008,23.0,21.0,25.3,Not significantly different from England average
17UG,E07000036,Erewash CD,ONS7.12,2006-2008,26.8,24.9,28.8,Significantly worse than England average
17UH,E07000037,High Peak CD,ONS5.7,2006-2008,23.3,21.4,25.3,Not significantly different from England average
17UJ,E07000038,North East Derbyshire CD,ONS7.12,2006-2008,25.8,23.8,27.9,Not significantly different from England average
17UK,E07000039,South Derbyshire CD,ONS5.7,2006-2008,24.0,21.9,26.2,Not significantly different from England average
18UB,E07000040,East Devon CD,ONS6.10,2006-2008,24.3,22.8,25.9,Not significantly different from England average
18UC,E07000041,Exeter CD,ONS1.1,2006-2008,21.7,20.1,23.4,Significantly better than England average
18UD,E07000042,Mid Devon CD,ONS5.7,2006-2008,22.8,20.8,25.1,Not significantly different from England average
18UE,E07000043,North Devon CD,ONS6.10,2006-2008,24.8,22.9,26.8,Not significantly different from England average
18UG,E07000044,South Hams CD,ONS6.10,2006-2008,23.2,21.3,25.3,Not significantly different from England average
18UH,E07000045,Teignbridge CD,ONS6.10,2006-2008,25.1,23.4,26.7,Not significantly different from England average
18UK,E07000046,Torridge CD,ONS6.10,2006-2008,27.3,24.8,30.0,Significantly worse than England average
18UL,E07000047,West Devon CD,ONS6.10,2006-2008,24.3,21.7,27.0,Not significantly different from England average
19UC,E07000048,Christchurch CD,ONS6.10,2006-2008,22.3,19.9,25.0,Not significantly different from England average
19UD,E07000049,East Dorset CD,ONS5.7,2006-2008,22.8,20.9,24.8,Not significantly different from England average
19UE,E07000050,North Dorset CD,ONS5.7,2006-2008,25.0,22.6,27.7,Not significantly different from England average
19UG,E07000051,Purbeck CD,ONS6.10,2006-2008,26.2,23.2,29.4,Not significantly different from England average
19UH,E07000052,West Dorset CD,ONS6.10,2006-2008,23.5,21.6,25.6,Not significantly different from England average
19UJ,E07000053,Weymouth and Portland CD,ONS6.10,2006-2008,25.9,23.5,28.5,Not significantly different from England average
21UC,E07000061,Eastbourne CD,ONS1.1,2006-2008,24.8,22.8,27.1,Not significantly different from England average
21UD,E07000062,Hastings CD,ONS1.1,2006-2008,27.0,24.8,29.3,Significantly worse than England average
21UF,E07000063,Lewes CD,ONS5.7,2006-2008,24.7,22.8,26.8,Not significantly different from England average
21UG,E07000064,Rother CD,ONS6.10,2006-2008,22.9,20.9,25.1,Not significantly different from England average
21UH,E07000065,Wealden CD,ONS5.7,2006-2008,24.3,22.8,25.9,Not significantly different from England average
22UB,E07000066,Basildon CD,ONS5.8,2006-2008,26.7,25.2,28.3,Significantly worse than England average
22UC,E07000067,Braintree CD,ONS5.7,2006-2008,25.9,24.2,27.7,Not significantly different from England average
22UD,E07000068,Brentwood CD,ONS5.9,2006-2008,21.6,19.5,23.8,Significantly better than England average
22UE,E07000069,Castle Point CD,ONS5.7,2006-2008,27.5,25.4,29.8,Significantly worse than England average
22UF,E07000070,Chelmsford CD,ONS5.9,2006-2008,22.9,21.5,24.4,Not significantly different from England average
22UG,E07000071,Colchester CD,ONS5.7,2006-2008,23.6,22.1,25.1,Not significantly different from England average
22UH,E07000072,Epping Forest CD,ONS5.9,2006-2008,23.9,22.3,25.7,Not significantly different from England average
22UJ,E07000073,Harlow CD,ONS5.8,2006-2008,26.6,24.4,28.9,Significantly worse than England average
22UK,E07000074,Maldon CD,ONS5.7,2006-2008,25.7,23.1,28.3,Not significantly different from England average
22UL,E07000075,Rochford CD,ONS5.9,2006-2008,25.4,23.1,27.8,Not significantly different from England average
22UN,E07000076,Tendring CD,ONS6.10,2006-2008,22.2,20.4,24.1,Significantly better than England average
22UQ,E07000077,Uttlesford CD,ONS5.9,2006-2008,17.3,15.3,19.6,Significantly better than England average
23UB,E07000078,Cheltenham CD,ONS5.7,2006-2008,20.7,19.1,22.4,Significantly better than England average
23UC,E07000079,Cotswold CD,ONS5.7,2006-2008,23.0,21.0,25.1,Not significantly different from England average
23UD,E07000080,Forest of Dean CD,ONS5.7,2006-2008,28.0,25.6,30.6,Significantly worse than England average
23UE,E07000081,Gloucester CD,ONS5.8,2006-2008,27.9,25.9,29.9,Significantly worse than England average
23UF,E07000082,Stroud CD,ONS5.7,2006-2008,24.4,22.6,26.3,Not significantly different from England average
23UG,E07000083,Tewkesbury CD,ONS5.7,2006-2008,24.7,22.3,27.2,Not significantly different from England average
24UB,E07000084,Basingstoke and Deane CD,ONS5.9,2006-2008,23.9,22.5,25.5,Not significantly different from England average
24UC,E07000085,East Hampshire CD,ONS5.9,2006-2008,21.3,19.6,23.0,Significantly better than England average
24UD,E07000086,Eastleigh CD,ONS5.7,2006-2008,25.6,23.7,27.5,Not significantly different from England average
24UE,E07000087,Fareham CD,ONS5.7,2006-2008,24.7,22.8,26.6,Not significantly different from England average
24UF,E07000088,Gosport CD,ONS5.8,2006-2008,27.6,25.2,30.0,Significantly worse than England average
24UG,E07000089,Hart CD,ONS5.9,2006-2008,21.0,19.1,23.0,Significantly better than England average
24UH,E07000090,Havant CD,ONS7.12,2006-2008,25.7,23.9,27.5,Not significantly different from England average
24UJ,E07000091,New Forest CD,ONS5.7,2006-2008,23.3,21.9,24.8,Not significantly different from England average
24UL,E07000092,Rushmoor CD,ONS5.8,2006-2008,25.4,23.3,27.5,Not significantly different from England average
24UN,E07000093,Test Valley CD,ONS5.9,2006-2008,24.4,22.6,26.3,Not significantly different from England average
24UP,E07000094,Winchester CD,ONS5.9,2006-2008,18.9,17.4,20.6,Significantly better than England average
26UB,E07000095,Broxbourne CD,ONS5.8,2006-2008,26.4,24.4,28.5,Significantly worse than England average
26UC,E07000096,Dacorum CD,ONS5.9,2006-2008,22.5,21.1,24.0,Significantly better than England average
26UD,E07000097,East Hertfordshire CD,ONS5.9,2006-2008,21.4,19.9,23.0,Significantly better than England average
26UE,E07000098,Hertsmere CD,ONS5.9,2006-2008,22.3,20.5,24.1,Significantly better than England average
26UF,E07000099,North Hertfordshire CD,ONS5.9,2006-2008,22.3,20.6,24.1,Significantly better than England average
26UG,E07000100,St Albans CD,ONS5.9,2006-2008,17.3,16.1,18.5,Significantly better than England average
26UH,E07000101,Stevenage CD,ONS5.8,2006-2008,26.0,24.0,28.2,Not significantly different from England average
26UJ,E07000102,Three Rivers CD,ONS5.9,2006-2008,18.6,16.9,20.4,Significantly better than England average
26UK,E07000103,Watford CD,ONS1.3,2006-2008,17.3,15.5,19.2,Significantly better than England average
26UL,E07000104,Welwyn Hatfield CD,ONS5.7,2006-2008,20.6,19.1,22.3,Significantly better than England average
29UB,E07000105,Ashford CD,ONS5.7,2006-2008,27.0,25.0,29.1,Significantly worse than England average
29UC,E07000106,Canterbury CD,ONS5.7,2006-2008,23.4,21.7,25.0,Not significantly different from England average
29UD,E07000107,Dartford CD,ONS5.8,2006-2008,28.2,26.1,30.4,Significantly worse than England average
29UE,E07000108,Dover CD,ONS6.10,2006-2008,26.8,24.8,28.9,Significantly worse than England average
29UG,E07000109,Gravesham CD,ONS5.8,2006-2008,28.5,26.4,30.7,Significantly worse than England average
29UH,E07000110,Maidstone CD,ONS5.7,2006-2008,26.3,24.6,28.1,Significantly worse than England average
29UK,E07000111,Sevenoaks CD,ONS5.9,2006-2008,23.9,22.1,25.7,Not significantly different from England average
29UL,E07000112,Shepway CD,ONS6.10,2006-2008,25.9,23.8,28.0,Not significantly different from England average
29UM,E07000113,Swale CD,ONS7.12,2006-2008,30.2,28.2,32.2,Significantly worse than England average
29UN,E07000114,Thanet CD,ONS6.10,2006-2008,27.7,25.9,29.6,Significantly worse than England average
29UP,E07000115,Tonbridge and Malling CD,ONS5.9,2006-2008,26.1,24.1,28.3,Not significantly different from England average
29UQ,E07000116,Tunbridge Wells CD,ONS5.9,2006-2008,22.9,21.1,24.7,Not significantly different from England average
30UD,E07000117,Burnley CD,ONS1.2,2006-2008,24.5,22.6,26.5,Not significantly different from England average
30UE,E07000118,Chorley CD,ONS5.7,2006-2008,23.1,21.4,25.0,Not significantly different from England average
30UF,E07000119,Fylde CD,ONS6.10,2006-2008,20.9,18.9,23.1,Significantly better than England average
30UG,E07000120,Hyndburn CD,ONS1.2,2006-2008,25.1,22.7,27.6,Not significantly different from England average
30UH,E07000121,Lancaster CD,ONS1.1,2006-2008,20.9,19.5,22.4,Significantly better than England average
30UJ,E07000122,Pendle CD,ONS1.2,2006-2008,24.3,22.4,26.4,Not significantly different from England average
30UK,E07000123,Preston CD,ONS1.2,2006-2008,20.8,19.3,22.4,Significantly better than England average
30UL,E07000124,Ribble Valley CD,ONS5.7,2006-2008,21.4,19.2,23.7,Significantly better than England average
30UM,E07000125,Rossendale CD,ONS7.12,2006-2008,23.5,21.3,25.8,Not significantly different from England average
30UN,E07000126,South Ribble CD,ONS5.7,2006-2008,21.3,19.8,23.0,Significantly better than England average
30UP,E07000127,West Lancashire CD,ONS5.7,2006-2008,22.7,21.0,24.5,Not significantly different from England average
30UQ,E07000128,Wyre CD,ONS6.10,2006-2008,22.9,21.1,24.7,Not significantly different from England average
31UB,E07000129,Blaby CD,ONS5.7,2006-2008,25.7,23.6,27.9,Not significantly different from England average
31UC,E07000130,Charnwood CD,ONS5.7,2006-2008,22.6,21.2,24.0,Significantly better than England average
31UD,E07000131,Harborough CD,ONS5.7,2006-2008,23.0,20.9,25.2,Not significantly different from England average
