ONS Code,Region code,Region,Total,Male,Female,Total per 100k,Male per 100k,Female per 100k
E38000071,03Y,NHS Hardwick ,869,254,615,795,472,"1,109"
E38000103,04E,NHS Mansfield & Ashfield ,"1,355",377,978,699,396,992
E38000109,04H,NHS Newark & Sherwood ,686,246,440,587,430,736
E38000115,04J,NHS North Derbyshire ,"1,690",528,"1,162",621,396,838
E38000132,04K,NHS Nottingham City ,"1,954",589,"1,365",629,376,886
E38000133,04L,NHS Nottingham North & East ,818,328,490,554,453,652
E38000134,04M,NHS Nottingham West ,633,209,424,569,380,754
E38000142,04N,NHS Rushcliffe ,451,189,262,400,339,459
E38000169,04R,NHS Southern Derbyshire ,"3,891",455,"3,436",751,178,"1,311"
E39000013,Q56,East Anglia,"14,638","5,874","8,764",595,483,704
E38000026,06H,NHS Cambridgeshire and Peterborough ,"4,282","2,034","2,248",501,478,524
E38000063,06M,NHS Great Yarmouth & Waveney ,"1,476",559,917,691,535,840
E38000086,06L,NHS Ipswich and East Suffolk ,"3,323","1,194","2,129",839,610,"1,062"
E38000124,06V,NHS North Norfolk ,696,230,466,413,281,538
E38000131,06W,NHS Norwich ,669,248,421,343,258,425
E38000159,06Y,NHS South Norfolk ,961,360,601,405,308,498
E38000203,07J,NHS West Norfolk ,"1,928",718,"1,210","1,124",859,"1,377"
E38000204,07K,NHS West Suffolk ,"1,303",531,772,582,476,688
E39000014,Q57,Essex,"9,119","3,432","5,686",520,400,635
E38000007,99E,NHS Basildon and Brentwood ,"1,856",666,"1,190",734,543,914
E38000030,99F,"NHS Castle Point, Rayleigh and Rochford ",468,238,230,271,283,260
E38000106,06Q,NHS Mid Essex ,"1,713",614,"1,099",449,327,567
E38000117,06T,NHS North East Essex ,"1,257",494,763,397,320,471
E38000168,99G,NHS Southend ,547,222,324,311,258,361
E38000185,07G,NHS Thurrock ,"1,519",516,"1,003",944,650,"1,230"
E38000197,07H,NHS West Essex ,"1,759",682,"1,077",600,478,716
E39000015,Q58,Hertfordshire and the South Midlands,"22,416","7,587","14,825",828,569,"1,079"
E38000010,06F,NHS Bedfordshire ,"2,960","1,050","1,909",695,499,886
E38000037,03V,NHS Corby,457,149,308,712,474,940
E38000049,06K,NHS East and North Hertfordshire ,"2,442",975,"1,465",447,364,526
E38000079,06N,NHS Herts Valleys ,"8,454","2,873","5,580","1,468","1,021","1,896"
E38000102,06P,NHS Luton ,"3,429",907,"2,522","1,649",866,"2,442"
E38000107,04F,NHS Milton Keynes ,"1,670",502,"1,168",639,388,884
E38000108,04G,NHS Nene ,"3,004","1,131","1,873",479,366,590
E39000016,Q59,Leicestershire and Lincolnshire,"8,886","3,106","5,779",506,359,648
E38000051,03W,NHS East Leicestershire and Rutland ,"1,003",455,548,312,287,336
E38000097,04C,NHS Leicester City ,953,360,593,285,218,352
E38000099,03T,NHS Lincolnshire East ,"2,228",717,"1,511",971,640,"1,287"
E38000100,04D,NHS Lincolnshire West ,"1,788",553,"1,235",779,492,"1,053"
E38000157,99D,NHS South Lincolnshire ,942,330,612,661,477,833
E38000165,04Q,NHS South West Lincolnshire ,792,250,541,645,417,860
E38000201,04V,NHS West Leicestershire ,"1,180",441,739,313,235,390
E39000017,Q60,Shropshire and Staffordshire,"8,683","2,527","6,156",548,321,772
E38000028,04Y,NHS Cannock Chase ,"1,544",474,"1,070","1,156",718,"1,583"
E38000053,05D,NHS East Staffordshire ,272,77,195,218,124,311
E38000126,05G,NHS North Staffordshire ,565,181,384,263,171,354
E38000147,05N,NHS Shropshire ,"1,713",469,"1,244",555,307,800
E38000153,05Q,NHS South East Staffs and Seisdon and Peninsular ,996,360,636,444,323,562
E38000173,05V,NHS Stafford and Surrounds ,"1,412",463,949,931,609,"1,255"
E38000175,05W,NHS Stoke on Trent ,872,250,622,337,194,479
E38000183,05X,NHS Telford & Wrekin ,"1,309",253,"1,056",777,303,"1,243"
E40000003,Y56,London,"42,511","14,249","28,250",505,342,665
E39000018,Q71,London,"42,511","14,249","28,250",505,342,665
E38000004,07L,NHS Barking & Dagenham ,"1,197",398,799,616,419,804
E38000005,07M,NHS Barnet ,"1,442",533,909,391,295,482
E38000011,07N,NHS Bexley ,981,391,590,414,343,480
E38000020,07P,NHS Brent ,"3,467","1,027","2,438","1,093",641,"1,553"
E38000023,07Q,NHS Bromley ,776,331,445,244,217,269
E38000027,07R,NHS Camden ,964,337,627,420,296,541
E38000031,09A,NHS Central London (Westminster) ,548,167,381,337,198,486
E38000035,07T,NHS City and Hackney ,"1,561",495,"1,065",589,376,799
E38000040,07V,NHS Croydon ,"1,959",623,"1,335",526,345,695
E38000048,07W,NHS Ealing ,"2,297",823,"1,474",671,480,862
E38000057,07X,NHS Enfield ,2059,857,1202,642,550,729
E38000066,08A,NHS Greenwich ,1144,360,784,433,273,593
E38000070,08C,NHS Hammersmith and Fulham ,560,247,313,313,283,343
E38000072,08D,NHS Haringey ,1656,498,1158,629,378,881
E38000074,08E,NHS Harrow ,2563,770,1793,"1,053",638,"1,462"
E38000077,08F,NHS Havering ,1307,470,837,540,404,665
E38000082,08G,NHS Hillingdon ,2266,658,1608,790,461,"1,117"
E38000084,07Y,NHS Hounslow ,762,294,468,290,222,360
E38000088,08H,NHS Islington ,1548,470,1078,718,439,993
E38000090,08J,NHS Kingston ,357,148,209,214,181,246
E38000092,08K,NHS Lambeth ,1216,377,839,387,240,534
E38000098,08L,NHS Lewisham ,829,266,558,290,189,383
E38000105,08R,NHS Merton ,702,256,446,345,256,432
E38000113,08M,NHS Newham ,1598,513,1084,502,310,710
E38000138,08N,NHS Redbridge ,1510,547,962,524,384,660
E38000140,08P,NHS Richmond ,328,139,189,171,149,192
E38000171,08Q,NHS Southwark ,1350,429,921,452,291,610
E38000179,08T,NHS Sutton ,934,265,669,477,278,665
E38000186,08V,NHS Tower Hamlets ,893,272,621,327,193,469
E38000192,08W,NHS Waltham Forest ,2251,793,1457,847,598,"1,095"
E38000193,08X,NHS Wandsworth ,801,290,511,258,194,317
E38000202,08Y,"NHS West London (Kensington and Chelsea, Queen’s Park and Paddington) ",685,205,480,312,188,434
E40000004,Y57,South of England,"97,530","34,210","63,311",701,501,895
E39000019,Q64,"Bath, Gloucestershire, Swindon and Wiltshire",7827,2852,4975,527,390,661
E38000009,11E,NHS Bath and North East Somerset ,1200,408,792,666,461,864
E38000062,11M,NHS Gloucestershire ,1477,675,802,244,227,260
E38000181,12D,NHS Swindon ,1204,430,774,549,392,705
E38000206,99N,NHS Wiltshire ,3946,1339,2607,823,565,"1,075"
E39000020,Q65,"Bristol, North Somerset, Somerset and South Gloucestershire",12633,4241,8392,871,593,"1,140"
E38000022,11H,NHS Bristol ,4495,1545,2950,"1,027",707,"1,347"
E38000125,11T,NHS North Somerset ,1695,628,1067,822,627,"1,007"
E38000150,11X,NHS Somerset ,4234,1207,3027,787,460,"1,099"
E38000155,12A,NHS South Gloucestershire ,2209,861,1348,821,645,993
E39000021,Q66,"Devon, Cornwall and Isles of Scilly",21508,7315,14193,"1,271",887,"1,635"
E38000089,11N,NHS Kernow ,9640,3070,6570,"1,773","1,163","2,349"
E38000129,99P,"NHS North, East, West Devon ",8510,3048,5462,973,712,"1,224"
E38000152,99Q,NHS South Devon and Torbay ,3358,1197,2161,"1,221",901,"1,521"
E39000022,Q67,Kent and Medway,11187,4173,7011,634,482,780
E38000002,09C,NHS Ashford ,366,156,207,301,264,330
E38000029,09E,NHS Canterbury and Coastal ,769,314,455,380,319,437
E38000043,09J,"NHS Dartford, Gravesham and Swanley ",1956,914,1042,777,738,814
E38000104,09W,NHS Medway ,3363,1097,2266,"1,240",816,"1,658"
E38000156,10A,NHS South Kent Coast ,585,269,316,287,268,306
E38000180,10D,NHS Swale ,1510,549,961,"1,377","1,007","1,743"
E38000184,10E,NHS Thanet ,319,137,182,233,208,257
E38000199,99J,NHS West Kent ,2319,737,1582,496,321,665
E39000023,Q68,Surrey and Sussex,14277,5098,9177,523,382,656
E38000021,09D,NHS Brighton & Hove ,1501,525,976,540,377,703
E38000036,09G,NHS Coastal West Sussex ,4985,1934,3050,"1,038",839,"1,222"
E38000039,09H,NHS Crawley ,449,130,319,412,240,581
E38000054,09L,NHS East Surrey ,560,191,369,315,220,405
E38000055,09F,"NHS Eastbourne, Hailsham and Seaford ",755,318,437,411,362,457
E38000067,09N,NHS Guildford and Waverley,304,112,192,146,109,183
E38000076,09P,NHS Hastings & Rother ,1186,478,707,652,545,751
E38000081,99K,NHS High Weald Lewes Havens ,980,346,634,579,420,731
E38000083,09X,NHS Horsham and Mid Sussex ,1343,465,878,596,422,763
E38000128,09Y,NHS North West Surrey ,1270,246,1024,373,147,593
E38000177,99H,NHS Surrey Downs ,763,275,488,268,199,334
E38000178,10C,NHS Surrey Heath ,181,78,103,192,167,216
E39000024,Q69,Thames Valley,12090,4352,7734,587,426,743
E38000003,10Y,NHS Aylesbury Vale ,834,374,457,418,380,453
E38000017,10G,NHS Bracknell and Ascot ,881,364,517,656,549,760
E38000033,10H,NHS Chiltern,1687,796,890,528,510,545
E38000110,10M,NHS Newbury and District ,618,206,412,585,392,775
E38000114,10N,NHS North & West Reading ,674,230,444,675,469,873
E38000136,10Q,NHS Oxfordshire ,2670,729,1941,409,225,591
E38000148,10T,NHS Slough ,1806,578,1228,"1,263",807,"1,721"
E38000160,10W,NHS South Reading ,778,252,526,714,454,984
E38000207,11C,"NHS Windsor, Ascot and Maidenhead ",1272,508,764,909,734,"1,081"
E38000209,11D,NHS Wokingham ,870,315,555,551,404,695
E39000025,Q70,Wessex,18008,6179,11829,661,460,857
E38000045,11J,NHS Dorset ,6139,2081,4058,814,560,"1,059"
E38000059,10K,NHS Fareham and Gosport ,1053,363,690,534,374,689
E38000087,10L,NHS Isle of Wight ,824,332,492,595,491,695
E38000118,99M,NHS North East Hampshire and Farnham ,376,137,239,181,133,228
E38000120,10J,NHS North Hampshire ,464,135,329,213,125,299
E38000137,10R,NHS Portsmouth ,1009,360,649,486,343,633
E38000154,10V,NHS South Eastern Hampshire ,1036,367,669,494,360,620
E38000167,10X,NHS Southampton ,3201,1068,2133,"1,322",870,"1,787"
E38000198,11A,NHS West Hampshire ,3906,1336,2570,713,502,912
