Region code,ONS Code,Region,Total,Male,Female,Total per 100k,Male per 100k,Female per 100k
5PX,E16000130,Mid Essex PCT,"1,320",429,891,352,232,467
5PQ,E16000125,Norfolk PCT,"4,054","1,504","2,550",532,403,656
5PW,E16000129,North East Essex PCT,904,426,478,290,280,299
5PN,E16000123,Peterborough PCT,781,329,452,423,360,485
5P1,E16000103,South East Essex PCT,"1,155",456,699,334,270,396
5PY,E16000131,South West Essex PCT,"2,934",867,"2,067",721,436,992
5PT,E16000127,Suffolk PCT,"3,818","1,497","2,321",621,491,749
5PV,E16000128,West Essex PCT,"1,803",675,"1,128",623,478,759
H,E12000007,London,"37,892","13,281","24,606",462,328,593
Q36,E18000007,London ,"37,892","13,281","24,606",462,328,593
5C2,E16000009,Barking & Dagenham PCT,919,311,608,491,342,632
5A9,E16000006,Barnet PCT,"1,283",540,743,359,311,404
TAK,E17000002,Bexley Care Trust,849,302,547,365,269,453
5K5,E16000045,Brent Teaching PCT,"3,883","1,229","2,654","1,244",782,"1,712"
5A7,E16000004,Bromley PCT,834,390,443,269,261,274
5K7,E16000047,Camden PCT,726,265,461,330,245,412
5C3,E16000010,City & Hackney Teaching PCT,"1,163",404,759,457,319,594
5K9,E16000049,Croydon PCT,"1,606",526,"1,080",440,297,575
5HX,E16000035,Ealing PCT,"1,819",692,"1,127",536,407,665
5C1,E16000008,Enfield PCT,"1,464",581,883,466,383,544
5A8,E16000005,Greenwich Teaching PCT,"1,019",310,708,399,244,551
5H1,E16000030,Hammersmith & Fulham PCT,555,231,324,304,259,347
5C9,E16000013,Haringey Teaching PCT,"1,276",408,868,499,322,674
5K6,E16000046,Harrow PCT,"3,017","1,050","1,967","1,254",883,"1,617"
5A4,E16000002,Havering PCT,955,420,535,401,367,434
5AT,E16000007,Hillingdon PCT,"1,798",577,"1,221",653,422,880
5HY,E16000036,Hounslow PCT,637,269,368,250,210,290
5K8,E16000048,Islington PCT,"1,181",399,782,573,392,749
5LA,E16000056,Kensington & Chelsea PCT,342,138,204,216,177,254
5A5,E16000003,Kingston PCT,468,199,269,292,254,328
5LD,E16000058,Lambeth PCT,"1,052",329,723,346,217,474
5LF,E16000060,Lewisham PCT,806,273,533,291,201,377
5C5,E16000012,Newham PCT,"1,542",425,"1,117",497,262,753
5NA,E16000083,Redbridge PCT,"1,360",502,857,483,360,604
5M6,E16000067,Richmond & Twickenham PCT,315,139,176,168,152,183
5LE,E16000059,Southwark PCT,"1,061",351,708,367,245,486
5M7,E16000068,Sutton & Merton PCT,"1,557",485,"1,072",398,253,537
5C4,E16000011,Tower Hamlets PCT,636,232,404,248,176,326
5NC,E16000084,Waltham Forest PCT,"2,361",758,"1,603",909,583,"1,235"
5LG,E16000061,Wandsworth PCT,760,283,477,247,190,301
5LC,E16000057,Westminster PCT,648,263,385,295,235,358
J,E12000008,South East,"36,779","13,280","23,482",425,312,534
Q37,E18000008,South East Coast ,"17,813","7,130","10,671",398,326,466
5LQ,E16000063,Brighton & Hove City PCT,"1,468",527,941,538,387,688
5P7,E16000109,East Sussex Downs & Weald PCT,"1,510",603,907,439,364,509
5QA,E16000132,Eastern & Coastal Kent PCT,"2,152",927,"1,217",283,250,312
5P8,E16000110,Hastings & Rother PCT,"1,097",438,659,598,496,693
5L3,E16000055,Medway PCT,"1,644",672,972,621,512,728
5P5,E16000107,Surrey PCT,"2,502",941,"1,561",223,171,273
5P9,E16000111,West Kent PCT,"2,246","1,043","1,199",318,300,333
5P6,E16000108,West Sussex PCT,"5,183","1,977","3,206",641,505,768
Q38,E18000009,South Central ,"18,966","6,150","12,811",454,298,606
5QG,E16000137,Berkshire East PCT,"2,758",884,"1,874",670,433,904
5QF,E16000136,Berkshire West PCT,"1,886",631,"1,255",406,273,538
5QD,E16000134,Buckinghamshire PCT,"2,005",798,"1,202",385,312,454
5QC,E16000133,Hampshire PCT,"4,909","1,622","3,287",371,250,487
5QT,E16000147,Isle of Wight PCT,483,197,286,349,292,403
5CQ,E16000016,Milton Keynes PCT,"1,156",363,793,453,287,614
5QE,E16000135,Oxfordshire PCT,"2,465",720,"1,745",392,231,549
5FE,E16000027,Portsmouth City Teaching PCT,952,332,620,463,320,610
5L1,E16000054,Southampton City PCT,"2,351",601,"1,750",997,504,"1,500"
K,E12000009,South West,"36,338","12,260","24,078",686,472,891
Q39,E18000010,South West ,"36,338","12,260","24,078",686,472,891
5FL,E16000028,Bath & North East Somerset PCT,"1,067",345,722,608,401,806
5QN,E16000143,Bournemouth & Poole PCT,"1,257",419,838,379,255,500
5QJ,E16000139,Bristol PCT,"2,609",747,"1,862",609,350,867
5QP,E16000144,Cornwall & Isles Of Scilly PCT,"7,388","2,462","4,926","1,378",948,"1,782"
5QQ,E16000145,Devon PCT,"5,367","2,047","3,320",718,564,863
5QM,E16000142,Dorset PCT,"1,453",575,878,351,285,414
5QH,E16000138,Gloucestershire PCT,"1,369",590,779,229,201,255
5M8,E16000069,North Somerset PCT,"1,221",387,834,601,392,799
5F1,E16000024,Plymouth Teaching PCT,"4,851","1,535","3,316","1,891","1,207","2,563"
5QL,E16000141,Somerset PCT,"3,565",905,"2,660",671,349,977
5A3,E16000001,South Gloucestershire PCT,"1,396",530,866,530,406,653
5K3,E16000044,Swindon PCT,834,333,501,388,310,467
TAL,E17000003,Torbay Care Trust,"1,243",478,765,947,756,"1,125"
5QK,E16000140,Wiltshire PCT,"2,730",911,"1,819",576,389,758
